label,Sensor_1,Sensor_2
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.78,294.64
HAND_APPROACH,0.72,294.58
HAND_APPROACH,0.7,294.64
HAND_APPROACH,0.7,294.64
HAND_APPROACH,0.67,294.64
HAND_APPROACH,0.62,294.58
HAND_APPROACH,0.61,294.64
HAND_APPROACH,0.56,294.66
HAND_APPROACH,0.56,294.66
HAND_APPROACH,0.55,294.64
HAND_APPROACH,0.5,294.7
HAND_APPROACH,0.49,294.7
HAND_APPROACH,0.47,294.66
HAND_APPROACH,0.46,294.76
HAND_APPROACH,0.44,294.78
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.4,294.94
HAND_APPROACH,0.39,294.94
HAND_APPROACH,0.36,294.94
HAND_APPROACH,0.31,294.98
HAND_APPROACH,0.29,295.1
HAND_APPROACH,0.27,295.22
HAND_APPROACH,0.23,295.26
HAND_APPROACH,0.21,295.44
HAND_APPROACH,0.18,295.56
HAND_APPROACH,0.2,295.74
HAND_APPROACH,0.17,295.86
HAND_APPROACH,0.12,296.04
HAND_APPROACH,0.11,296.26
HAND_APPROACH,0.11,296.48
HAND_APPROACH,0.09,296.9
HAND_APPROACH,0.06,297.08
HAND_APPROACH,0.05,297.36
HAND_APPROACH,0.04,297.56
HAND_APPROACH,0.04,297.78
HAND_APPROACH,0.04,298.16
HAND_APPROACH,0.04,298.2
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.9,294.44
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.86,294.52
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.87,294.52
HAND_APPROACH,0.85,294.52
HAND_APPROACH,0.82,294.54
HAND_APPROACH,0.81,294.64
HAND_APPROACH,0.75,294.64
HAND_APPROACH,0.73,294.66
HAND_APPROACH,0.7,294.64
HAND_APPROACH,0.68,294.72
HAND_APPROACH,0.64,294.7
HAND_APPROACH,0.63,294.7
HAND_APPROACH,0.59,294.7
HAND_APPROACH,0.57,294.66
HAND_APPROACH,0.53,294.78
HAND_APPROACH,0.5,294.78
HAND_APPROACH,0.47,294.88
HAND_APPROACH,0.43,294.92
HAND_APPROACH,0.39,294.92
HAND_APPROACH,0.36,294.92
HAND_APPROACH,0.32,295.1
HAND_APPROACH,0.29,295.16
HAND_APPROACH,0.24,295.28
HAND_APPROACH,0.23,295.46
HAND_APPROACH,0.2,295.56
HAND_APPROACH,0.16,295.78
HAND_APPROACH,0.15,295.84
HAND_APPROACH,0.13,296.04
HAND_APPROACH,0.09,296.26
HAND_APPROACH,0.08,296.56
HAND_APPROACH,0.06,296.84
HAND_APPROACH,0.05,297.12
HAND_APPROACH,0.05,297.3
HAND_APPROACH,0.04,297.54
HAND_APPROACH,0.05,297.78
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
